game_date,game_pk,game_type,status,venue,game_datetime_utc,away_team,home_team,away_team_id,home_team_id,away_probable_pitcher,home_probable_pitcher
2024-07-12,747175,R,Final,Chase Field,2024-07-13 01:40:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,141,109,,
2024-07-12,745390,R,Final,Petco Park,2024-07-13 01:40:00+00:00,Atlanta Braves,San Diego Padres,144,135,,
2024-07-12,745312,R,Final,Oracle Park,2024-07-13 02:15:00+00:00,Minnesota Twins,San Francisco Giants,142,137,,
2024-07-13,746447,R,Final,Comerica Park,2024-07-13 17:10:00+00:00,Los Angeles Dodgers,Detroit Tigers,119,116,,
2024-07-13,746766,R,Final,Guaranteed Rate Field,2024-07-13 18:10:00+00:00,Pittsburgh Pirates,Chicago White Sox,134,145,,
2024-07-13,745152,R,Final,Busch Stadium,2024-07-13 18:15:00+00:00,Chicago Cubs,St. Louis Cardinals,112,138,,
2024-07-13,745175,R,Final,Busch Stadium,2024-07-14 00:15:00+00:00,Chicago Cubs,St. Louis Cardinals,112,138,,
2024-07-13,745549,R,Final,Citizens Bank Park,2024-07-13 20:05:00+00:00,Oakland Athletics,Philadelphia Phillies,133,143,,
2024-07-13,747013,R,Final,Oriole Park at Camden Yards,2024-07-13 20:05:00+00:00,New York Yankees,Baltimore Orioles,147,110,,
2024-07-13,746930,R,Final,Fenway Park,2024-07-13 20:10:00+00:00,Kansas City Royals,Boston Red Sox,118,111,,
2024-07-13,745798,R,Final,Citi Field,2024-07-13 20:10:00+00:00,Colorado Rockies,New York Mets,115,121,,
2024-07-13,745067,R,Final,Tropicana Field,2024-07-13 20:10:00+00:00,Cleveland Guardians,Tampa Bay Rays,114,139,,
2024-07-13,746369,R,Final,Minute Maid Park,2024-07-13 20:10:00+00:00,Texas Rangers,Houston Astros,140,117,,
2024-07-13,746687,R,Final,Great American Ball Park,2024-07-13 20:10:00+00:00,Miami Marlins,Cincinnati Reds,146,113,,
2024-07-13,745963,R,Final,American Family Field,2024-07-13 20:10:00+00:00,Washington Nationals,Milwaukee Brewers,120,158,,
2024-07-13,745311,R,Final,Oracle Park,2024-07-13 23:15:00+00:00,Minnesota Twins,San Francisco Giants,142,137,,
2024-07-13,745392,R,Final,Petco Park,2024-07-13 23:15:00+00:00,Atlanta Braves,San Diego Padres,144,135,,
2024-07-13,746202,R,Final,Angel Stadium,2024-07-14 01:38:00+00:00,Seattle Mariners,Los Angeles Angels,136,108,,
2024-07-13,747177,R,Final,Chase Field,2024-07-14 02:10:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,141,109,,
2024-07-14,747009,R,Final,Oriole Park at Camden Yards,2024-07-14 15:35:00+00:00,New York Yankees,Baltimore Orioles,147,110,,
2024-07-14,746932,R,Final,Fenway Park,2024-07-14 17:35:00+00:00,Kansas City Royals,Boston Red Sox,118,111,,
2024-07-14,745551,R,Final,Citizens Bank Park,2024-07-14 17:35:00+00:00,Oakland Athletics,Philadelphia Phillies,133,143,,
2024-07-14,746449,R,Final,Comerica Park,2024-07-14 17:40:00+00:00,Los Angeles Dodgers,Detroit Tigers,119,116,,
2024-07-14,745797,R,Final,Citi Field,2024-07-14 17:40:00+00:00,Colorado Rockies,New York Mets,115,121,,
2024-07-14,745066,R,Final,Tropicana Field,2024-07-14 17:40:00+00:00,Cleveland Guardians,Tampa Bay Rays,114,139,,
2024-07-14,746686,R,Final,Great American Ball Park,2024-07-14 17:40:00+00:00,Miami Marlins,Cincinnati Reds,146,113,,
2024-07-14,746370,R,Final,Minute Maid Park,2024-07-14 18:10:00+00:00,Texas Rangers,Houston Astros,140,117,,
2024-07-14,746769,R,Final,Guaranteed Rate Field,2024-07-14 18:10:00+00:00,Pittsburgh Pirates,Chicago White Sox,134,145,,
2024-07-14,745962,R,Final,American Family Field,2024-07-14 18:10:00+00:00,Washington Nationals,Milwaukee Brewers,120,158,,
2024-07-14,745151,R,Final,Busch Stadium,2024-07-14 18:15:00+00:00,Chicago Cubs,St. Louis Cardinals,112,138,,
2024-07-14,745314,R,Final,Oracle Park,2024-07-14 20:05:00+00:00,Minnesota Twins,San Francisco Giants,142,137,,
2024-07-14,746201,R,Final,Angel Stadium,2024-07-14 20:07:00+00:00,Seattle Mariners,Los Angeles Angels,136,108,,
2024-07-14,747176,R,Final,Chase Field,2024-07-14 20:10:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,141,109,,
2024-07-14,745385,R,Final,Petco Park,2024-07-14 20:10:00+00:00,Atlanta Braves,San Diego Padres,144,135,,
2024-07-19,746854,R,Final,Wrigley Field,2024-07-19 18:20:00+00:00,Arizona Diamondbacks,Chicago Cubs,109,112,,
2024-07-19,745481,R,Final,PNC Park,2024-07-19 22:40:00+00:00,Philadelphia Phillies,Pittsburgh Pirates,143,134,,
2024-07-19,744829,R,Final,Nationals Park,2024-07-19 22:45:00+00:00,Cincinnati Reds,Washington Nationals,113,120,,
2024-07-19,745721,R,Final,Yankee Stadium,2024-07-19 23:05:00+00:00,Tampa Bay Rays,New York Yankees,139,147,,
2024-07-19,744911,R,Final,Rogers Centre,2024-07-19 23:07:00+00:00,Detroit Tigers,Toronto Blue Jays,116,141,,
